year,month,median_difference,lower_95a,upper_95a,lower_95b,upper_95b,lower_95c,upper_95c,lower_95d,upper_95d,lower_95e,upper_95e
1869,5,-0.279,-0.359,-0.226,-0.44,-0.117,-0.524,-0.034,-0.453,-0.107,-0.58,0.021
1869,6,-0.375,-0.448,-0.317,-0.537,-0.213,-0.591,-0.16,-0.553,-0.205,-0.655,-0.101
1869,7,-0.294,-0.371,-0.236,-0.452,-0.135,-0.515,-0.073,-0.467,-0.124,-0.575,-0.016
1869,8,-0.078,-0.145,-0.025,-0.224,0.067,-0.376,0.219,-0.239,0.076,-0.417,0.256
1869,9,-0.193,-0.254,-0.136,-0.356,-0.03,-0.465,0.079,-0.366,-0.018,-0.514,0.132
1869,10,-0.428,-0.502,-0.371,-0.592,-0.264,-0.703,-0.153,-0.606,-0.253,-0.755,-0.102
1869,11,-0.381,-0.447,-0.322,-0.545,-0.217,-0.635,-0.127,-0.555,-0.204,-0.688,-0.071
1869,12,-0.359,-0.436,-0.291,-0.516,-0.202,-0.683,-0.035,-0.534,-0.19,-0.729,0.006
1870,1,-0.083,-0.165,-0.015,-0.238,0.072,-0.503,0.337,-0.254,0.085,-0.537,0.368
1870,2,-0.453,-0.52,-0.394,-0.608,-0.298,-0.832,-0.075,-0.629,-0.289,-0.874,-0.044
1870,3,-0.405,-0.472,-0.343,-0.556,-0.254,-0.674,-0.135,-0.569,-0.243,-0.72,-0.09
1870,4,-0.212,-0.265,-0.149,-0.369,-0.055,-0.418,-0.007,-0.379,-0.04,-0.476,0.057
1870,5,-0.167,-0.246,-0.112,-0.319,-0.015,-0.394,0.061,-0.332,-0.004,-0.449,0.113
1870,6,-0.215,-0.284,-0.158,-0.371,-0.06,-0.402,-0.029,-0.383,-0.051,-0.466,0.033
1870,7,0.015,-0.052,0.074,-0.135,0.165,-0.188,0.218,-0.145,0.177,-0.243,0.276
1870,8,-0.261,-0.327,-0.21,-0.408,-0.115,-0.539,0.016,-0.422,-0.107,-0.583,0.055
1870,9,-0.265,-0.327,-0.212,-0.417,-0.114,-0.538,0.007,-0.428,-0.103,-0.583,0.052
1870,10,-0.401,-0.475,-0.334,-0.557,-0.246,-0.701,-0.102,-0.574,-0.234,-0.748,-0.059
1870,11,-0.169,-0.227,-0.112,-0.337,-0.001,-0.417,0.079,-0.344,0.013,-0.471,0.141
1870,12,-0.725,-0.803,-0.669,-0.883,-0.567,-1.061,-0.389,-0.901,-0.555,-1.105,-0.35
1871,1,-0.532,-0.61,-0.464,-0.7,-0.363,-1.016,-0.047,-0.714,-0.349,-1.049,-0.014
1871,2,-0.547,-0.62,-0.475,-0.722,-0.372,-1.034,-0.06,-0.739,-0.358,-1.07,-0.025
1871,3,0.014,-0.064,0.083,-0.148,0.177,-0.329,0.358,-0.165,0.189,-0.374,0.399
1871,4,-0.145,-0.213,-0.077,-0.3,0.01,-0.359,0.069,-0.313,0.024,-0.417,0.128
1871,5,-0.314,-0.395,-0.253,-0.464,-0.164,-0.552,-0.076,-0.476,-0.151,-0.601,-0.025
1871,6,-0.222,-0.291,-0.17,-0.371,-0.073,-0.428,-0.016,-0.384,-0.062,-0.484,0.039
1871,7,-0.012,-0.081,0.051,-0.161,0.136,-0.212,0.187,-0.172,0.151,-0.267,0.246
1871,8,-0.221,-0.285,-0.169,-0.364,-0.079,-0.479,0.037,-0.376,-0.07,-0.523,0.077
1871,9,-0.456,-0.524,-0.404,-0.61,-0.302,-0.729,-0.183,-0.622,-0.291,-0.775,-0.137
1871,10,-0.482,-0.559,-0.421,-0.642,-0.322,-0.752,-0.211,-0.659,-0.313,-0.807,-0.165
1871,11,-0.538,-0.607,-0.485,-0.693,-0.384,-0.81,-0.267,-0.708,-0.374,-0.859,-0.221
1871,12,-0.563,-0.641,-0.508,-0.716,-0.411,-0.873,-0.254,-0.737,-0.403,-0.921,-0.218
1872,1,-0.308,-0.387,-0.245,-0.465,-0.152,-0.731,0.115,-0.48,-0.138,-0.765,0.148
1872,2,-0.403,-0.474,-0.348,-0.569,-0.237,-0.81,0.003,-0.59,-0.228,-0.854,0.037
1872,3,-0.475,-0.557,-0.408,-0.635,-0.315,-0.787,-0.163,-0.651,-0.302,-0.834,-0.119
1872,4,-0.154,-0.22,-0.084,-0.303,-0.004,-0.36,0.053,-0.315,0.012,-0.415,0.111
1872,5,-0.045,-0.13,0.012,-0.187,0.098,-0.268,0.178,-0.203,0.112,-0.318,0.228
1872,6,-0.211,-0.283,-0.154,-0.351,-0.071,-0.39,-0.032,-0.364,-0.057,-0.446,0.026
1872,7,-0.117,-0.182,-0.054,-0.265,0.031,-0.323,0.089,-0.277,0.045,-0.377,0.146
1872,8,-0.027,-0.098,0.023,-0.17,0.115,-0.288,0.233,-0.185,0.123,-0.334,0.272
1872,9,-0.131,-0.192,-0.074,-0.279,0.016,-0.383,0.12,-0.289,0.028,-0.427,0.167
1872,10,-0.228,-0.296,-0.169,-0.38,-0.076,-0.475,0.019,-0.393,-0.066,-0.526,0.068
1872,11,-0.249,-0.312,-0.19,-0.401,-0.098,-0.481,-0.017,-0.411,-0.085,-0.531,0.036
1872,12,-0.43,-0.498,-0.375,-0.58,-0.28,-0.71,-0.15,-0.595,-0.269,-0.756,-0.108
1873,1,-0.017,-0.086,0.053,-0.164,0.13,-0.404,0.369,-0.179,0.143,-0.437,0.4
1873,2,-0.344,-0.417,-0.278,-0.498,-0.19,-0.778,0.09,-0.521,-0.176,-0.815,0.119
1873,3,-0.276,-0.355,-0.221,-0.428,-0.123,-0.575,0.024,-0.447,-0.114,-0.622,0.063
1873,4,-0.523,-0.588,-0.463,-0.669,-0.377,-0.741,-0.305,-0.682,-0.362,-0.792,-0.252
1873,5,-0.413,-0.487,-0.357,-0.561,-0.266,-0.632,-0.195,-0.574,-0.255,-0.685,-0.143
1873,6,-0.259,-0.322,-0.199,-0.411,-0.106,-0.453,-0.064,-0.423,-0.094,-0.513,-0.003
1873,7,-0.152,-0.226,-0.079,-0.294,-0.01,-0.352,0.048,-0.309,0.009,-0.406,0.106
1873,8,-0.163,-0.218,-0.103,-0.302,-0.024,-0.414,0.088,-0.315,-0.013,-0.457,0.129
1873,9,-0.359,-0.417,-0.296,-0.49,-0.227,-0.612,-0.105,-0.503,-0.211,-0.65,-0.064
1873,10,-0.405,-0.468,-0.343,-0.555,-0.255,-0.656,-0.155,-0.569,-0.244,-0.705,-0.108
1873,11,-0.467,-0.528,-0.409,-0.614,-0.321,-0.687,-0.248,-0.624,-0.305,-0.736,-0.193
1873,12,-0.276,-0.34,-0.216,-0.422,-0.13,-0.541,-0.011,-0.438,-0.118,-0.588,0.032
1874,1,0.056,-0.023,0.125,-0.094,0.207,-0.385,0.497,-0.117,0.218,-0.421,0.523
1874,2,-0.44,-0.513,-0.384,-0.588,-0.291,-0.798,-0.081,-0.612,-0.281,-0.841,-0.051
1874,3,-0.564,-0.641,-0.501,-0.71,-0.417,-0.842,-0.285,-0.729,-0.405,-0.888,-0.244
1874,4,-0.513,-0.576,-0.445,-0.657,-0.368,-0.721,-0.305,-0.669,-0.351,-0.772,-0.248
1874,5,-0.471,-0.55,-0.408,-0.619,-0.323,-0.707,-0.235,-0.632,-0.305,-0.755,-0.18
1874,6,-0.462,-0.534,-0.401,-0.606,-0.318,-0.673,-0.251,-0.62,-0.303,-0.726,-0.197
1874,7,-0.177,-0.242,-0.114,-0.315,-0.038,-0.387,0.033,-0.329,-0.023,-0.436,0.084
1874,8,-0.371,-0.441,-0.316,-0.511,-0.23,-0.638,-0.104,-0.528,-0.22,-0.682,-0.065
1874,9,-0.214,-0.283,-0.159,-0.351,-0.076,-0.448,0.021,-0.366,-0.063,-0.493,0.065
1874,10,-0.435,-0.497,-0.383,-0.571,-0.298,-0.665,-0.205,-0.586,-0.288,-0.711,-0.163
1874,11,-0.506,-0.565,-0.448,-0.647,-0.364,-0.729,-0.282,-0.657,-0.347,-0.773,-0.23
1874,12,-0.408,-0.473,-0.342,-0.551,-0.264,-0.661,-0.154,-0.568,-0.249,-0.708,-0.109
1875,1,-0.578,-0.658,-0.506,-0.718,-0.437,-0.924,-0.232,-0.735,-0.418,-0.958,-0.197
1875,2,-0.614,-0.689,-0.547,-0.76,-0.469,-1.004,-0.225,-0.783,-0.455,-1.042,-0.195
1875,3,-0.599,-0.675,-0.54,-0.748,-0.45,-0.849,-0.349,-0.765,-0.437,-0.899,-0.301
1875,4,-0.467,-0.529,-0.406,-0.611,-0.323,-0.668,-0.265,-0.627,-0.309,-0.725,-0.211
1875,5,-0.176,-0.262,-0.119,-0.321,-0.03,-0.381,0.03,-0.334,-0.014,-0.434,0.087
1875,6,-0.236,-0.306,-0.176,-0.378,-0.094,-0.428,-0.044,-0.393,-0.081,-0.484,0.011
1875,7,-0.305,-0.378,-0.235,-0.435,-0.176,-0.499,-0.112,-0.45,-0.157,-0.546,-0.061
1875,8,-0.18,-0.256,-0.12,-0.317,-0.042,-0.436,0.077,-0.336,-0.035,-0.483,0.112
1875,9,-0.272,-0.348,-0.212,-0.405,-0.139,-0.529,-0.015,-0.425,-0.125,-0.572,0.024
1875,10,-0.369,-0.444,-0.315,-0.51,-0.228,-0.609,-0.129,-0.526,-0.215,-0.656,-0.083
1875,11,-0.499,-0.561,-0.443,-0.638,-0.36,-0.714,-0.285,-0.652,-0.345,-0.762,-0.234
1875,12,-0.497,-0.576,-0.434,-0.638,-0.357,-0.736,-0.259,-0.656,-0.34,-0.784,-0.211
1876,1,-0.312,-0.38,-0.245,-0.452,-0.172,-0.675,0.05,-0.47,-0.156,-0.708,0.082
1876,2,-0.269,-0.344,-0.209,-0.406,-0.132,-0.57,0.033,-0.426,-0.116,-0.61,0.069
1876,3,-0.385,-0.47,-0.324,-0.522,-0.248,-0.66,-0.11,-0.543,-0.234,-0.703,-0.073
1876,4,-0.299,-0.365,-0.236,-0.449,-0.149,-0.502,-0.096,-0.463,-0.132,-0.56,-0.036
1876,5,-0.532,-0.62,-0.475,-0.666,-0.398,-0.741,-0.322,-0.685,-0.387,-0.792,-0.278
1876,6,-0.284,-0.358,-0.224,-0.413,-0.154,-0.488,-0.079,-0.429,-0.14,-0.534,-0.033
1876,7,-0.135,-0.206,-0.068,-0.27,0,-0.347,0.077,-0.287,0.015,-0.396,0.125
1876,8,-0.244,-0.312,-0.181,-0.379,-0.109,-0.502,0.014,-0.394,-0.096,-0.543,0.053
1876,9,-0.436,-0.511,-0.377,-0.582,-0.289,-0.686,-0.186,-0.601,-0.278,-0.737,-0.141
1876,10,-0.387,-0.463,-0.33,-0.519,-0.255,-0.615,-0.159,-0.538,-0.243,-0.662,-0.118
1876,11,-0.581,-0.64,-0.528,-0.712,-0.451,-0.79,-0.372,-0.724,-0.435,-0.833,-0.326
1876,12,-0.713,-0.787,-0.645,-0.846,-0.579,-0.966,-0.459,-0.868,-0.563,-1.011,-0.418
1877,1,-0.327,-0.413,-0.256,-0.464,-0.191,-0.699,0.044,-0.485,-0.175,-0.733,0.072
1877,2,0.058,-0.02,0.123,-0.085,0.201,-0.262,0.377,-0.106,0.218,-0.302,0.415
1877,3,-0.291,-0.378,-0.226,-0.43,-0.151,-0.569,-0.013,-0.449,-0.135,-0.611,0.028
1877,4,-0.325,-0.389,-0.264,-0.463,-0.187,-0.52,-0.13,-0.478,-0.171,-0.573,-0.076
1877,5,-0.452,-0.545,-0.39,-0.579,-0.325,-0.66,-0.244,-0.599,-0.309,-0.706,-0.2
1877,6,-0.092,-0.171,-0.032,-0.222,0.038,-0.291,0.107,-0.242,0.054,-0.341,0.155
1877,7,0.012,-0.065,0.075,-0.119,0.143,-0.218,0.242,-0.135,0.159,-0.261,0.285
1877,8,0.148,0.073,0.212,0.018,0.277,-0.107,0.402,0.001,0.289,-0.147,0.437
1877,9,0.029,-0.041,0.084,-0.105,0.163,-0.208,0.266,-0.12,0.176,-0.251,0.308
1877,10,0.058,-0.007,0.117,-0.072,0.188,-0.165,0.281,-0.088,0.203,-0.208,0.324
1877,11,0.101,0.041,0.159,-0.027,0.23,-0.109,0.312,-0.038,0.247,-0.15,0.359
1877,12,0.174,0.106,0.247,0.039,0.309,-0.066,0.414,0.022,0.327,-0.11,0.459
1878,1,0.177,0.108,0.238,0.045,0.308,-0.164,0.517,0.025,0.324,-0.197,0.546
1878,2,0.411,0.338,0.479,0.28,0.542,0.118,0.704,0.26,0.561,0.081,0.74
1878,3,0.345,0.265,0.406,0.21,0.48,0.097,0.594,0.189,0.495,0.051,0.635
1878,4,0.32,0.254,0.377,0.19,0.45,0.121,0.519,0.174,0.468,0.073,0.569
1878,5,-0.082,-0.176,-0.027,-0.22,0.055,-0.283,0.119,-0.241,0.067,-0.34,0.167
1878,6,0.017,-0.047,0.073,-0.124,0.157,-0.175,0.208,-0.138,0.171,-0.229,0.263
1878,7,-0.049,-0.123,0.014,-0.184,0.086,-0.26,0.162,-0.201,0.1,-0.309,0.209
1878,8,-0.025,-0.092,0.035,-0.151,0.101,-0.283,0.233,-0.165,0.113,-0.319,0.268
1878,9,0.012,-0.052,0.065,-0.122,0.147,-0.2,0.225,-0.137,0.158,-0.248,0.27
1878,10,-0.123,-0.184,-0.065,-0.259,0.012,-0.35,0.103,-0.271,0.029,-0.392,0.151
1878,11,-0.204,-0.263,-0.149,-0.338,-0.069,-0.409,0.002,-0.349,-0.056,-0.455,0.05
1878,12,-0.362,-0.429,-0.298,-0.49,-0.234,-0.597,-0.127,-0.505,-0.217,-0.637,-0.085
1879,1,-0.197,-0.274,-0.132,-0.321,-0.073,-0.565,0.171,-0.342,-0.058,-0.594,0.194
1879,2,-0.15,-0.222,-0.087,-0.275,-0.025,-0.438,0.138,-0.298,-0.011,-0.476,0.168
1879,3,-0.097,-0.175,-0.044,-0.223,0.03,-0.335,0.141,-0.243,0.042,-0.377,0.177
1879,4,-0.216,-0.273,-0.155,-0.339,-0.092,-0.412,-0.019,-0.353,-0.075,-0.454,0.027
1879,5,-0.213,-0.291,-0.16,-0.33,-0.095,-0.413,-0.013,-0.346,-0.081,-0.453,0.027
1879,6,-0.27,-0.335,-0.217,-0.387,-0.152,-0.449,-0.091,-0.405,-0.141,-0.495,-0.05
1879,7,-0.232,-0.304,-0.174,-0.351,-0.112,-0.437,-0.027,-0.368,-0.099,-0.478,0.012
1879,8,-0.167,-0.221,-0.113,-0.283,-0.052,-0.416,0.082,-0.296,-0.039,-0.447,0.113
1879,9,-0.216,-0.278,-0.163,-0.339,-0.092,-0.448,0.017,-0.354,-0.081,-0.487,0.052
1879,10,-0.123,-0.186,-0.064,-0.242,-0.004,-0.345,0.099,-0.257,0.013,-0.382,0.138
1879,11,-0.388,-0.447,-0.331,-0.506,-0.271,-0.589,-0.188,-0.52,-0.256,-0.629,-0.148
1879,12,-0.514,-0.585,-0.452,-0.632,-0.396,-0.741,-0.288,-0.652,-0.378,-0.779,-0.25
1880,1,-0.067,-0.14,0.004,-0.182,0.047,-0.414,0.28,-0.203,0.065,-0.441,0.303
1880,2,-0.174,-0.242,-0.11,-0.293,-0.055,-0.432,0.084,-0.313,-0.037,-0.468,0.118
1880,3,-0.107,-0.184,-0.046,-0.225,0.012,-0.349,0.136,-0.244,0.029,-0.385,0.171
1880,4,-0.151,-0.208,-0.088,-0.274,-0.027,-0.345,0.044,-0.29,-0.009,-0.389,0.09
1880,5,-0.245,-0.337,-0.19,-0.356,-0.133,-0.464,-0.026,-0.377,-0.117,-0.501,0.009
1880,6,-0.312,-0.374,-0.259,-0.427,-0.197,-0.493,-0.13,-0.444,-0.181,-0.536,-0.088
1880,7,-0.25,-0.31,-0.193,-0.367,-0.133,-0.457,-0.044,-0.383,-0.119,-0.496,-0.005
1880,8,-0.115,-0.171,-0.06,-0.23,0,-0.363,0.133,-0.247,0.01,-0.398,0.161
1880,9,-0.234,-0.298,-0.181,-0.349,-0.118,-0.474,0.007,-0.366,-0.107,-0.51,0.037
1880,10,-0.386,-0.447,-0.325,-0.505,-0.267,-0.615,-0.157,-0.519,-0.252,-0.651,-0.12
1880,11,-0.4,-0.458,-0.34,-0.514,-0.286,-0.591,-0.208,-0.526,-0.27,-0.628,-0.167
1880,12,-0.294,-0.366,-0.234,-0.406,-0.183,-0.518,-0.071,-0.426,-0.166,-0.555,-0.037
1881,1,-0.36,-0.433,-0.303,-0.477,-0.243,-0.666,-0.054,-0.498,-0.228,-0.698,-0.029
1881,2,-0.239,-0.311,-0.177,-0.356,-0.122,-0.507,0.029,-0.376,-0.104,-0.54,0.061
1881,3,-0.19,-0.264,-0.124,-0.304,-0.077,-0.415,0.035,-0.324,-0.06,-0.452,0.069
1881,4,-0.135,-0.192,-0.077,-0.249,-0.021,-0.338,0.068,-0.268,-0.007,-0.378,0.105
1881,5,-0.034,-0.125,0.024,-0.153,0.084,-0.239,0.17,-0.171,0.102,-0.279,0.212
1881,6,-0.232,-0.295,-0.178,-0.351,-0.113,-0.412,-0.052,-0.369,-0.1,-0.458,-0.008
1881,7,-0.152,-0.211,-0.09,-0.265,-0.038,-0.339,0.036,-0.28,-0.02,-0.377,0.078
1881,8,-0.128,-0.183,-0.066,-0.233,-0.022,-0.39,0.134,-0.249,-0.007,-0.416,0.161
1881,9,-0.247,-0.303,-0.2,-0.36,-0.135,-0.489,-0.006,-0.377,-0.124,-0.522,0.023
1881,10,-0.285,-0.343,-0.223,-0.402,-0.167,-0.511,-0.059,-0.413,-0.15,-0.543,-0.02
1881,11,-0.34,-0.397,-0.287,-0.448,-0.232,-0.535,-0.145,-0.459,-0.219,-0.568,-0.11
1881,12,-0.138,-0.202,-0.075,-0.248,-0.029,-0.356,0.08,-0.266,-0.01,-0.39,0.115
1882,1,0.117,0.052,0.176,0.007,0.227,-0.181,0.414,-0.012,0.245,-0.208,0.44
1882,2,-0.006,-0.076,0.056,-0.124,0.112,-0.251,0.238,-0.145,0.127,-0.288,0.271
1882,3,-0.054,-0.129,0.004,-0.169,0.061,-0.286,0.178,-0.188,0.077,-0.322,0.213
1882,4,-0.284,-0.34,-0.226,-0.393,-0.174,-0.472,-0.095,-0.41,-0.156,-0.51,-0.055
1882,5,-0.374,-0.459,-0.321,-0.486,-0.262,-0.571,-0.177,-0.504,-0.247,-0.61,-0.139
1882,6,-0.32,-0.384,-0.269,-0.43,-0.211,-0.491,-0.149,-0.448,-0.197,-0.534,-0.11
1882,7,-0.185,-0.246,-0.126,-0.297,-0.073,-0.381,0.011,-0.314,-0.057,-0.419,0.049
1882,8,-0.22,-0.282,-0.163,-0.332,-0.108,-0.469,0.029,-0.346,-0.093,-0.499,0.06
1882,9,-0.159,-0.224,-0.109,-0.269,-0.049,-0.391,0.073,-0.285,-0.039,-0.425,0.101
1882,10,-0.336,-0.393,-0.276,-0.449,-0.222,-0.558,-0.114,-0.461,-0.204,-0.589,-0.076
1882,11,-0.312,-0.379,-0.254,-0.429,-0.194,-0.495,-0.128,-0.442,-0.18,-0.536,-0.085
1882,12,-0.464,-0.529,-0.404,-0.577,-0.351,-0.683,-0.245,-0.596,-0.333,-0.719,-0.208
1883,1,-0.411,-0.477,-0.361,-0.521,-0.302,-0.688,-0.135,-0.541,-0.286,-0.718,-0.11
1883,2,-0.325,-0.389,-0.256,-0.428,-0.222,-0.568,-0.081,-0.448,-0.202,-0.597,-0.051
1883,3,-0.349,-0.418,-0.292,-0.449,-0.248,-0.562,-0.136,-0.469,-0.232,-0.593,-0.105
1883,4,-0.393,-0.452,-0.336,-0.498,-0.288,-0.579,-0.207,-0.518,-0.269,-0.617,-0.17
1883,5,-0.256,-0.343,-0.196,-0.363,-0.15,-0.445,-0.067,-0.38,-0.13,-0.481,-0.027
1883,6,-0.125,-0.181,-0.068,-0.228,-0.021,-0.291,0.042,-0.244,-0.003,-0.328,0.083
1883,7,-0.196,-0.262,-0.134,-0.295,-0.096,-0.378,-0.013,-0.315,-0.077,-0.413,0.022
1883,8,-0.211,-0.266,-0.159,-0.305,-0.117,-0.459,0.037,-0.323,-0.104,-0.484,0.058
1883,9,-0.28,-0.338,-0.233,-0.379,-0.182,-0.505,-0.056,-0.396,-0.171,-0.535,-0.032
1883,10,-0.382,-0.435,-0.323,-0.482,-0.281,-0.593,-0.171,-0.496,-0.265,-0.621,-0.14
1883,11,-0.305,-0.362,-0.252,-0.408,-0.202,-0.476,-0.133,-0.423,-0.187,-0.513,-0.097
1883,12,-0.328,-0.399,-0.263,-0.429,-0.228,-0.522,-0.135,-0.45,-0.209,-0.557,-0.1
1884,1,-0.416,-0.482,-0.356,-0.513,-0.318,-0.725,-0.106,-0.536,-0.3,-0.749,-0.088
1884,2,-0.221,-0.291,-0.157,-0.322,-0.121,-0.463,0.02,-0.344,-0.101,-0.492,0.049
1884,3,-0.462,-0.536,-0.4,-0.558,-0.366,-0.679,-0.245,-0.583,-0.348,-0.711,-0.217
1884,4,-0.531,-0.587,-0.476,-0.629,-0.433,-0.718,-0.344,-0.648,-0.416,-0.752,-0.311
1884,5,-0.396,-0.475,-0.343,-0.493,-0.299,-0.587,-0.205,-0.512,-0.284,-0.62,-0.175
1884,6,-0.414,-0.47,-0.362,-0.508,-0.321,-0.58,-0.248,-0.524,-0.306,-0.613,-0.216
1884,7,-0.425,-0.484,-0.374,-0.518,-0.333,-0.628,-0.223,-0.536,-0.319,-0.657,-0.197
1884,8,-0.412,-0.468,-0.362,-0.504,-0.321,-0.66,-0.165,-0.521,-0.307,-0.683,-0.143
1884,9,-0.345,-0.396,-0.293,-0.439,-0.25,-0.581,-0.109,-0.456,-0.238,-0.607,-0.087
1884,10,-0.328,-0.385,-0.274,-0.42,-0.236,-0.544,-0.113,-0.435,-0.219,-0.568,-0.086
1884,11,-0.565,-0.625,-0.518,-0.656,-0.475,-0.736,-0.394,-0.67,-0.46,-0.765,-0.364
1884,12,-0.415,-0.48,-0.354,-0.507,-0.322,-0.609,-0.221,-0.528,-0.305,-0.64,-0.192
1885,1,-0.507,-0.575,-0.454,-0.605,-0.409,-0.77,-0.245,-0.625,-0.394,-0.797,-0.224
1885,2,-0.411,-0.475,-0.353,-0.502,-0.321,-0.642,-0.181,-0.527,-0.303,-0.67,-0.158
1885,3,-0.483,-0.55,-0.425,-0.578,-0.389,-0.689,-0.278,-0.599,-0.373,-0.72,-0.25
1885,4,-0.472,-0.529,-0.418,-0.562,-0.382,-0.657,-0.287,-0.579,-0.363,-0.685,-0.257
1885,5,-0.52,-0.606,-0.468,-0.608,-0.432,-0.712,-0.328,-0.63,-0.413,-0.74,-0.299
1885,6,-0.488,-0.547,-0.439,-0.581,-0.394,-0.652,-0.324,-0.599,-0.378,-0.685,-0.29
1885,7,-0.313,-0.379,-0.251,-0.405,-0.22,-0.507,-0.119,-0.425,-0.201,-0.536,-0.089
1885,8,-0.51,-0.562,-0.462,-0.602,-0.418,-0.77,-0.25,-0.617,-0.404,-0.791,-0.229
1885,9,-0.333,-0.39,-0.285,-0.427,-0.239,-0.562,-0.104,-0.442,-0.227,-0.587,-0.082
1885,10,-0.246,-0.298,-0.192,-0.338,-0.154,-0.451,-0.041,-0.352,-0.137,-0.476,-0.012
1885,11,-0.261,-0.324,-0.21,-0.352,-0.17,-0.434,-0.088,-0.368,-0.154,-0.464,-0.057
1885,12,-0.153,-0.214,-0.091,-0.241,-0.064,-0.334,0.029,-0.259,-0.044,-0.362,0.06
1886,1,-0.398,-0.465,-0.35,-0.488,-0.309,-0.658,-0.138,-0.508,-0.293,-0.682,-0.12
1886,2,-0.455,-0.522,-0.396,-0.545,-0.365,-0.682,-0.228,-0.569,-0.348,-0.71,-0.205
1886,3,-0.411,-0.473,-0.356,-0.501,-0.322,-0.617,-0.206,-0.52,-0.305,-0.644,-0.18
1886,4,-0.335,-0.392,-0.277,-0.426,-0.245,-0.522,-0.148,-0.446,-0.227,-0.553,-0.12
1886,5,-0.191,-0.274,-0.133,-0.286,-0.097,-0.389,0.006,-0.305,-0.077,-0.417,0.038
1886,6,-0.385,-0.438,-0.33,-0.475,-0.296,-0.547,-0.223,-0.493,-0.28,-0.579,-0.192
1886,7,-0.284,-0.342,-0.223,-0.376,-0.191,-0.488,-0.08,-0.392,-0.173,-0.514,-0.051
1886,8,-0.338,-0.391,-0.286,-0.424,-0.252,-0.593,-0.084,-0.438,-0.236,-0.61,-0.063
1886,9,-0.432,-0.484,-0.38,-0.524,-0.341,-0.665,-0.199,-0.54,-0.327,-0.689,-0.177
1886,10,-0.361,-0.415,-0.307,-0.456,-0.266,-0.565,-0.158,-0.469,-0.248,-0.59,-0.127
1886,11,-0.421,-0.482,-0.371,-0.516,-0.326,-0.593,-0.249,-0.532,-0.314,-0.626,-0.219
1886,12,-0.427,-0.493,-0.365,-0.518,-0.336,-0.613,-0.242,-0.538,-0.316,-0.642,-0.21
1887,1,-0.568,-0.632,-0.508,-0.657,-0.478,-0.83,-0.306,-0.677,-0.459,-0.852,-0.285
1887,2,-0.556,-0.625,-0.496,-0.651,-0.462,-0.785,-0.327,-0.674,-0.445,-0.815,-0.302
1887,3,-0.462,-0.528,-0.404,-0.56,-0.363,-0.673,-0.25,-0.579,-0.348,-0.704,-0.222
1887,4,-0.44,-0.497,-0.382,-0.542,-0.338,-0.622,-0.258,-0.561,-0.323,-0.659,-0.224
1887,5,-0.356,-0.445,-0.298,-0.451,-0.262,-0.55,-0.163,-0.472,-0.241,-0.58,-0.13
1887,6,-0.409,-0.469,-0.353,-0.503,-0.316,-0.569,-0.249,-0.522,-0.299,-0.605,-0.215
1887,7,-0.27,-0.333,-0.214,-0.362,-0.178,-0.469,-0.071,-0.381,-0.162,-0.498,-0.043
1887,8,-0.368,-0.425,-0.323,-0.457,-0.279,-0.62,-0.116,-0.477,-0.268,-0.644,-0.099
1887,9,-0.345,-0.4,-0.294,-0.439,-0.25,-0.573,-0.117,-0.456,-0.235,-0.598,-0.092
1887,10,-0.506,-0.562,-0.449,-0.604,-0.408,-0.709,-0.303,-0.617,-0.387,-0.735,-0.269
1887,11,-0.409,-0.467,-0.358,-0.503,-0.315,-0.569,-0.249,-0.518,-0.3,-0.602,-0.215
1887,12,-0.398,-0.462,-0.342,-0.494,-0.303,-0.587,-0.21,-0.515,-0.287,-0.621,-0.18
1888,1,-0.603,-0.671,-0.539,-0.7,-0.506,-0.891,-0.316,-0.722,-0.49,-0.916,-0.296
1888,2,-0.455,-0.528,-0.399,-0.546,-0.363,-0.708,-0.202,-0.571,-0.346,-0.734,-0.18
1888,3,-0.543,-0.614,-0.485,-0.638,-0.449,-0.758,-0.328,-0.658,-0.43,-0.786,-0.3
1888,4,-0.245,-0.302,-0.192,-0.338,-0.152,-0.43,-0.061,-0.358,-0.135,-0.462,-0.031
1888,5,-0.349,-0.43,-0.292,-0.446,-0.253,-0.543,-0.156,-0.466,-0.234,-0.574,-0.123
1888,6,-0.292,-0.353,-0.247,-0.391,-0.194,-0.45,-0.135,-0.409,-0.181,-0.489,-0.099
1888,7,-0.308,-0.37,-0.243,-0.404,-0.213,-0.508,-0.109,-0.419,-0.192,-0.535,-0.076
1888,8,-0.283,-0.345,-0.235,-0.377,-0.19,-0.541,-0.026,-0.394,-0.178,-0.564,-0.006
1888,9,-0.218,-0.279,-0.172,-0.313,-0.122,-0.439,0.004,-0.332,-0.111,-0.469,0.027
1888,10,-0.108,-0.159,-0.051,-0.204,-0.012,-0.316,0.101,-0.215,0.008,-0.34,0.134
1888,11,-0.189,-0.255,-0.141,-0.282,-0.096,-0.368,-0.01,-0.3,-0.08,-0.399,0.021
1888,12,-0.171,-0.249,-0.115,-0.264,-0.077,-0.38,0.039,-0.291,-0.061,-0.413,0.065
1889,1,-0.055,-0.123,0.005,-0.15,0.04,-0.35,0.24,-0.173,0.058,-0.374,0.259
1889,2,-0.097,-0.173,-0.041,-0.192,-0.003,-0.351,0.156,-0.219,0.014,-0.38,0.178
